"edge","edge_name","coef","pos_rank","neg_rank"
"x32_38","PrCu_L -- MTG_L",-0.0050370695757754715,"101","101"
"x30_82","AG_L -- Thal_L",-0.005014204825828046,"101","101"
"x2_26","SFG_PFC_L -- SPG_L",-0.004950100456971439,"101","101"
"x28_68","SMG_L -- PCC_L",-0.00484434268266118,"101","101"
"x70_185","Ins_L -- PSMG_L",-0.004820462390707152,"101","101"
"x8_42","MFG_DPFC_L -- ITG_L",-0.0047809382085098615,"101","101"
"x0_28","SFG_L -- SMG_L",-0.004778430863109576,"101","101"
"x2_22","SFG_PFC_L -- PoCG_L",-0.004695222066934127,"101","101"
"x12_183","IFG_orbitalis_L -- PSTG_L",-0.0046951376890484635,"101","101"
"x28_66","SMG_L -- dorsal_ACC_L",-0.004648621593253867,"101","101"
"x30_181","AG_L -- PIns_L",-0.004624796329778053,"101","101"
"x78_181","Put_L -- PIns_L",-0.004396556890648426,"101","101"
"x10_76","IFG_opercularis_L -- Caud_L",-0.00433873293808416,"101","101"
"x74_187","Hippo_L -- PSIG_L",-0.004324624464488335,"101","101"
"x6_185","MFG_L -- PSMG_L",-0.004303413609088893,"101","101"
"x72_82","Amyg_L -- Thal_L",-0.004193374980699187,"101","101"
"x20_80","RG_L -- GP_L",-0.004134934486986865,"101","101"
"x36_54","STG_L_pole -- IOG_L",-0.004041833859628889,"101","101"
"x4_8","SFG_pole_L -- MFG_DPFC_L",-0.004013018343203949,"101","101"
"x2_38","SFG_PFC_L -- MTG_L",-0.004001418937428755,"101","101"
"x42_76","ITG_L -- Caud_L",-0.003937303073095299,"101","101"
"x14_48","IFG_triangularis_L -- FuG_L",-0.003829933187994284,"101","101"
"x58_70","LG_L -- Ins_L",-0.0037931193466942572,"101","101"
"x6_34","MFG_L -- STG_L",-0.0037263064807208546,"101","101"
"x22_80","PoCG_L -- GP_L",-0.003699787728159326,"101","101"
"x0_60","SFG_L -- rostral_ACC_L",-0.0036189667952387294,"101","101"
"x24_52","PrCG_L -- MOG_L",-0.00357816217234642,"101","101"
"x8_185","MFG_DPFC_L -- PSMG_L",-0.0034901052624933394,"101","101"
"x50_80","SOG_L -- GP_L",-0.003357599781666514,"101","101"
"x14_54","IFG_triangularis_L -- IOG_L",-0.0033523014694720856,"101","101"
"x18_36","MFOG_L -- STG_L_pole",-0.003314917470483158,"101","101"
"x8_48","MFG_DPFC_L -- FuG_L",-0.003158872457009907,"101","101"
"x20_72","RG_L -- Amyg_L",-0.0031118407216595406,"101","101"
"x52_66","MOG_L -- dorsal_ACC_L",-0.00309664701966283,"101","101"
"x6_76","MFG_L -- Caud_L",-0.003015939077298913,"101","101"
"x8_58","MFG_DPFC_L -- LG_L",-0.0030003529671696976,"101","101"
"x38_66","MTG_L -- dorsal_ACC_L",-0.002919657281358831,"101","101"
"x12_24","IFG_orbitalis_L -- PrCG_L",-0.0028531947894066627,"101","101"
"x44_56","PHG_L -- Cu_L",-0.0027619966908438544,"101","101"
"x70_183","Ins_L -- PSTG_L",-0.0027096958755890737,"101","101"
"x56_80","Cu_L -- GP_L",-0.0026620458551539793,"101","101"
