"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x36_76","STG_L_pole -- Caud_L","-0.025663744003569886","0.006083619252848089",1.0,"1.0",0.0,"0.0",0.0,"0.0",-133.4006632659918
"x16_22","LFOG_L -- PoCG_L","-0.0007314600056964499","0.00017501668708952133",1.0,"1.0",0.0,"0.0",0.0,"0.0",-132.16337674917676
"x183_185","PSTG_L -- PSMG_L","-0.13303374844274643","0.031890057148419214",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.9187509733925
"x22_187","PoCG_L -- PSIG_L","-0.05070035528822263","0.012215503476077421",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.25009640783964
"x4_52","SFG_pole_L -- MOG_L","-0.0007654160704833604","0.00018562796179723244",1.0,"1.0",0.0,"0.0",0.0,"0.0",-130.39297081047212
"x22_42","PoCG_L -- ITG_L","-0.02492091944149683","0.0060770414628219084",1.0,"1.0",0.0,"0.0",0.0,"0.0",-129.67965958900476
"x6_183","MFG_L -- PSTG_L","-0.017309994891302624","0.004228213376325042",1.0,"1.0",0.0,"0.0",0.0,"0.0",-129.4613238983969
"x28_187","SMG_L -- PSIG_L","-0.07986970767028595","0.019599532441504624",1.0,"1.0",0.0,"0.0",0.0,"0.0",-128.86541709284515
"x10_72","IFG_opercularis_L -- Amyg_L","-0.0006467125769801191","0.00015963008830740817",1.0,"1.0",0.0,"0.0",0.0,"0.0",-128.11398881117105
"x28_183","SMG_L -- PSTG_L","-0.1336289707109767","0.03301692793581135",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.98644066829719
"x24_76","PrCG_L -- Caud_L","-0.009705611482815703","0.002400520633236227",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.8549242420176
"x18_22","MFOG_L -- PoCG_L","-0.0005975619317496213","0.0001479613147386255",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.71289243252392
"x70_183","Ins_L -- PSTG_L","-0.010120511384847604","0.002506717576695588",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.67240856854544
"x6_12","MFG_L -- IFG_orbitalis_L","-0.06872517622012123","0.01708502991103222",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.20380975844266
