"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x74_78","Hippo_L -- Put_L","-0.05030447474271448","0.013848384111045341",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.87023714088951
"x74_187","Hippo_L -- PSIG_L","-0.01725465551970998","0.004759080751020969",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.65241826832677
"x6_187","MFG_L -- PSIG_L","-0.021489185810931562","0.005936502690146705",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.46936988322474
"x60_185","rostral_ACC_L -- PSMG_L","-0.0006792179584405266","0.0001892486289501085",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.49491873612965
"x30_54","AG_L -- IOG_L","-0.15110324907489567","0.042104498722465966",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.48678726186611
"x56_70","Cu_L -- Ins_L","-0.005406473210319655","0.0015108384414815553",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.16080517866136
"x74_82","Hippo_L -- Thal_L","-0.07918151160566075","0.022158977513291378",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.99886246951294
"x4_74","SFG_pole_L -- Hippo_L","-0.0004493502962009742","0.0001261587459037762",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.63352319229514
"x8_36","MFG_DPFC_L -- STG_L_pole","-0.008937638872477272","0.0025140395484289798",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.42184220510406
"x28_36","SMG_L -- STG_L_pole","-0.004091323999719519","0.001154070481699607",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.10669270190539
"x28_70","SMG_L -- Ins_L","-0.012065599646208793","0.003404987310898409",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.05556066426102
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L","-0.11452526317518545","0.032359707016672595",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.91716942220717
"x32_70","PrCu_L -- Ins_L","-0.0025804741352794982","0.0007292466453668356",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.89870755636909
"x10_32","IFG_opercularis_L -- PrCu_L","-0.0026372019352552756","0.0007496998249174583",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.23871832474761
"x4_48","SFG_pole_L -- FuG_L","-0.0007176969584356489","0.00020479610728600808",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.82032214910684
"x10_52","IFG_opercularis_L -- MOG_L","-0.019542344139017318","0.005593178788233926",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.4887232071658
"x183_187","PSTG_L -- PSIG_L","-0.027965248612667755","0.008012111815861755",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.37524560480982
"x4_30","SFG_pole_L -- AG_L","-0.0004004011013494274","0.00011477435863972302",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.31901836878475
"x14_183","IFG_triangularis_L -- PSTG_L","-0.0661323870495051","0.018996668959666438",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.08717929668586
"x30_78","AG_L -- Put_L","-0.023996897243896118","0.006905462951421567",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.89104221043875
"x52_70","MOG_L -- Ins_L","-0.009127884429235785","0.002634367041482528",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.57055171373152
"x4_183","SFG_pole_L -- PSTG_L","-0.000668317564143612","0.00019319794958073513",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.39069009665265
"x54_62","IOG_L -- subcallosal_ACC_L","-0.0004080795295379746","0.00011834957605709417",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.03805681630963
"x26_76","SPG_L -- Caud_L","-0.005425265254562019","0.0015777797090723426",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.73631481213681
"x72_80","Amyg_L -- GP_L","-0.024321268670840446","0.007088011807899983",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.5080085490697
"x4_28","SFG_pole_L -- SMG_L","-0.000306131400231874","8.928780689777042e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.42157755512011
"x28_40","SMG_L -- MTG_L_pole","-0.004031550145216229","0.0011800823833057082",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.03382154009483
"x38_64","MTG_L -- subgenual_ACC_L","-0.0007857007161610605","0.0002304034169149515",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.83710830172093
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L","-0.13814693443650478","0.040533606975644225",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.77697747249682
"x2_72","SFG_PFC_L -- Amyg_L","-0.000830570774069467","0.000243862974438115",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.70373854745048
"x22_76","PoCG_L -- Caud_L","-0.012866357303115555","0.003778540486857892",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.6791274538401
"x24_48","PrCG_L -- FuG_L","-0.014977335717929776","0.004403346899462828",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.56021551567764
"x78_187","Put_L -- PSIG_L","-0.03822431240830507","0.011282165728168491",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.13890587716325
