"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"Ins_L_to_SMG_L",-0.00790186589370449,0.0004956307753557778,0.003648340857371005,0.014435294823858255,1.0,9.45641699044742e-62,4.72820849522371e-62,-17.795781747239104,"1.0","4.42868397516429e-61","3.764381378889647e-61"
"Amyg_L_to_SMG_L",-0.004568445530383734,0.0005181980840871013,0.002481483205215301,0.008242095302833635,1.0,6.909797624815076e-68,3.454898812407538e-68,-18.82351901541405,"1.0","3.6675079700941554e-67","3.192696670394466e-67"
"Hippo_L_to_SMG_L",-0.0006689962675781264,0.00011604470301930483,0.0003097859700656203,0.0011056635139880485,1.0,1.3249507506136227e-84,6.624753753068114e-85,-21.50498652240298,"1.0","1.0883524022897614e-83","9.021868597928286e-84"
"Caud_L_to_SMG_L",-0.0003912720606567386,-3.854406364906299e-6,0.00030413979087239143,0.0010604963299889899,1.0,2.0730554478658922e-26,1.0365277239329461e-26,-10.944885991529178,"1.0","4.150120674160925e-26","3.494482717493809e-26"
"Put_L_to_SMG_L",-0.021895552677663296,-0.0014165164894816614,0.026688092083179377,0.09290797560151995,0.999999999986929,2.6142027494140398e-11,1.3071013747070199e-11,-6.743375350729469,"1.0","3.865285493776473e-11","3.2996339581018676e-11"
"GP_L_to_SMG_L",-0.00863666738834391,0.0021512223988279775,0.009846994766423946,0.032943608400523045,1.0,1.8307004615992061e-22,9.153502307996031e-23,-9.9900404620799,"1.0","3.445045414100324e-22","2.8795972306309703e-22"
"Thal_L_to_SMG_L",0.19117537850170555,-0.011688645781342598,0.08744861858435843,0.3570101550889588,2.044129747355656e-59,4.088259494711312e-59,1.0,17.345052480709985,"2.094727018329806e-58","1.7341592528795935e-58","1.0"
"PIns_L_to_SMG_L",-0.04106418816672146,-0.0028942439742721308,0.0239288688333879,0.09731707046329086,1.0,4.696846006324787e-31,2.3484230031623937e-31,-11.992583293675624,"1.0","1.0476800897728781e-30","8.806586261858976e-31"
"PSTG_L_to_SMG_L",-0.1519183455221007,-0.0008304644045524086,0.051328129222086884,0.12998762197949726,1.0,1.6225687545574934e-172,8.112843772787467e-173,-34.51888741724162,"1.0","1.0495991631043785e-170","6.459071772950022e-171"
"PSMG_L_to_SMG_L",-0.18108380850854947,-0.000668788643252978,0.0612566860176667,0.17871129747102124,1.0,4.355151874690101e-141,2.1775759373450505e-141,-29.939435037674272,"1.0","1.4540587710658887e-139","1.0244504977964216e-139"
"PSIG_L_to_SMG_L",-0.06603693778844474,0.002040799233965719,0.021559317688805268,0.07823514816103645,1.0,4.955250729737152e-119,2.477625364868576e-119,-26.70861447135516,"1.0","8.997692114522723e-118","6.748269085892043e-118"
