,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
169,7.39289508939e-06,2.61446157828e-05,7.39289508939e-06,-2.61446157828e-05,0.000502502204336,OpticTract_R,8386.06382979,7896.5,4964.37314572,169
25,6.41037353578e-05,2.6119400037e-05,-6.41037353578e-05,-2.6119400037e-05,0.00047566183401,PrCG_R,8678.60638298,8272.0,5084.08222375,25
89,6.54165020189e-05,2.52727120653e-05,-6.54165020189e-05,-2.52727120653e-05,0.000462136226606,NucAccumbens_R,9214.47340426,8981.5,5114.56053044,89
37,9.26128542815e-06,2.49843928044e-05,9.26128542815e-06,2.49843928044e-05,0.000466733234322,STG_R_pole,9259.2287234,9887.5,4994.15736038,37
31,5.21089718954e-05,2.45337342744e-05,-5.21089718954e-05,2.45337342744e-05,0.000549728429202,AG_R,8382.75,8441.0,5231.81822126,31
100,5.0279163074e-05,2.42148955608e-05,5.0279163074e-05,2.42148955608e-05,0.000457213855458,CST_L,9113.80851064,9317.0,4904.44768569,100
105,1.19995294715e-05,2.23983524671e-05,1.19995294715e-05,2.23983524671e-05,0.000508955774289,MCP_R,8672.15425532,8039.5,5418.58104342,105
78,3.41741577768e-05,2.23858118337e-05,-3.41741577768e-05,-2.23858118337e-05,0.000623916424999,Put_L,7880.62765957,6997.0,5506.89756749,78
125,3.11700437918e-05,2.19560192342e-05,-3.11700437918e-05,-2.19560192342e-05,0.000472164337561,BCC_R,8571.79787234,7966.0,5010.5903665,125
183,1.23886281605e-05,2.17526189009e-05,-1.23886281605e-05,2.17526189009e-05,0.000530909505535,PSTG_L,8752.15425532,8970.5,5277.99294266,183
73,9.96646475603e-06,2.08497539759e-05,9.96646475603e-06,2.08497539759e-05,0.000496160372779,Amyg_R,9281.39893617,9744.5,4770.2856783,73
173,6.28807639582e-06,2.06998523342e-05,-6.28807639582e-06,2.06998523342e-05,0.000444466815642,LV_occipital_L,9421.56382979,9690.0,5006.4312332,173
93,6.53994588073e-05,2.0064345417e-05,-6.53994588073e-05,-2.0064345417e-05,0.000532352705441,Snigra_R,8501.18617021,8574.5,5075.10673742,93
3,1.22808307764e-05,1.99289752783e-05,1.22808307764e-05,1.99289752783e-05,0.000500802275563,SFG_PFC_R,8302.7393617,7482.0,5021.71651071,3
111,1.23051558893e-05,1.95120564917e-05,-1.23051558893e-05,1.95120564917e-05,0.000458610042164,ML_R,9270.69148936,10000.5,5261.06118963,111
118,4.78172094076e-06,1.95039687103e-05,-4.78172094076e-06,-1.95039687103e-05,0.000457697603531,SCR_L,9654.35638298,9933.0,5124.0729432,118
107,4.01062108263e-05,1.73325510214e-05,4.01062108263e-05,1.73325510214e-05,0.000504994444072,PCT_R,8909.17553191,9494.5,5124.08973505,107
65,2.84917643138e-05,1.69252864873e-05,-2.84917643138e-05,1.69252864873e-05,0.000491894636919,subgenual_ACC_R,9105.0212766,9921.5,5037.07182115,65
