,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
173,1.14747005211e-05,2.63982023926e-05,1.14747005211e-05,2.63982023926e-05,0.000442410714117,LV_occipital_L,9538.14893617,10059.5,4935.52865296,173
172,4.76181259352e-05,2.5107551349e-05,4.76181259352e-05,2.5107551349e-05,0.00048604930237,LV_atrium_L,9529.51595745,9220.0,5247.24226606,172
142,1.1800979058e-05,2.4947835397e-05,1.1800979058e-05,2.4947835397e-05,0.000514311124359,Fx/ST_L,8404.70212766,7556.5,5053.36230038,142
38,7.36446654808e-06,2.47233765275e-05,7.36446654808e-06,2.47233765275e-05,0.000475125818499,MTG_L,8905.4787234,8727.0,5036.16868312,38
6,5.28067617919e-05,2.4365061159e-05,-5.28067617919e-05,-2.4365061159e-05,0.000508391351958,MFG_L,8662.97340426,8642.5,5135.16945217,6
22,5.55764807804e-06,2.42316195462e-05,-5.55764807804e-06,2.42316195462e-05,0.000528962754997,PoCG_L,8476.92553191,8111.5,4973.02698338,22
52,3.08811308562e-05,2.40113147791e-05,3.08811308562e-05,2.40113147791e-05,0.000489277146078,MOG_L,8632.28191489,8413.0,4908.95786166,52
67,1.6773350363e-05,2.39850267346e-05,1.6773350363e-05,2.39850267346e-05,0.000551115917571,dorsal_ACC_R,8425.28723404,8916.0,5129.55353833,67
50,5.73570703572e-05,2.39520306735e-05,5.73570703572e-05,2.39520306735e-05,0.000471900979486,SOG_L,8617.9893617,8465.5,4964.23305125,50
79,3.40109789804e-05,2.36092196053e-05,-3.40109789804e-05,-2.36092196053e-05,0.00048215531672,Put_R,8798.66489362,8356.0,4958.75810845,79
19,2.70943529135e-05,2.35352057031e-05,2.70943529135e-05,2.35352057031e-05,0.000516982075629,MFOG_R,9091.9787234,9611.0,5325.63328564,19
102,2.92976239268e-05,2.23096751021e-05,-2.92976239268e-05,-2.23096751021e-05,0.000456734417837,SCP_L,8943.32446809,8957.0,4908.32538566,102
176,2.86574405434e-05,2.21129442529e-05,2.86574405434e-05,2.21129442529e-05,0.000483006497394,LV_body_R,8698.81382979,8483.5,5033.09370222,176
161,1.75659306951e-05,2.1900912217e-05,1.75659306951e-05,2.1900912217e-05,0.000458214006373,AnteriorCom_R,9212.43085106,9467.5,5077.21906841,161
7,9.01530063801e-07,2.13935287062e-05,-9.01530063801e-07,2.13935287062e-05,0.000485046694708,MFG_R,9211.32446809,9893.5,5163.32307395,7
87,1.75510751556e-05,2.0845137591e-05,1.75510751556e-05,2.0845137591e-05,0.000506735551162,Mynert_R,9540.87234043,10336.5,5520.86968988,87
99,6.48171443759e-06,2.00064138813e-05,6.48171443759e-06,2.00064138813e-05,0.000505854286568,Midbrain_R,8397.54787234,8566.0,5014.06901297,99
165,1.96935772644e-05,1.99731011376e-05,1.96935772644e-05,1.99731011376e-05,0.000487994177766,OlfactoryRadiation_R,9260.89361702,9220.0,4977.7045882,165
24,2.22902470044e-05,1.9926109842e-05,2.22902470044e-05,1.9926109842e-05,0.000516162065353,PrCG_L,9280.18617021,9713.0,5112.47416915,24
34,1.90127958313e-05,1.98908879441e-05,1.90127958313e-05,1.98908879441e-05,0.000525685572962,STG_L,8475.33510638,8356.0,5281.95638617,34
89,6.50794145595e-05,1.96626793373e-05,-6.50794145595e-05,-1.96626793373e-05,0.000458364432026,NucAccumbens_R,9181.42553191,8993.0,5129.59867575,89
25,7.04062848157e-05,1.93992916382e-05,-7.04062848157e-05,-1.93992916382e-05,0.000482976085514,PrCG_R,8622.90957447,8165.0,5190.3428962,25
125,2.38986200071e-05,1.91931604363e-05,-2.38986200071e-05,1.91931604363e-05,0.000471402133027,BCC_R,8642.08510638,8092.0,5012.47123016,125
44,1.73647883426e-05,1.84651960281e-05,-1.73647883426e-05,1.84651960281e-05,0.000453659971695,PHG_L,9473.68617021,9863.5,5140.00587511,44
128,1.55228656162e-05,1.81423291454e-05,1.55228656162e-05,1.81423291454e-05,0.000506389686443,TAP_L,8589.63829787,8537.5,5223.24229185,128
159,2.0092780756e-05,1.80260819813e-05,-2.0092780756e-05,-1.80260819813e-05,0.000561067398101,AnsaLenticularis_R,8434.68617021,8351.0,5378.3490054,159
170,2.94369069785e-05,1.76153994712e-05,2.94369069785e-05,1.76153994712e-05,0.000469387396339,LV_frontal_L,8801.99468085,8415.5,4809.45058956,170
174,1.02237643345e-05,1.74032096391e-05,1.02237643345e-05,1.74032096391e-05,0.00050436154527,LV_temporal_L,8569.58510638,8292.0,5053.22856962,174
91,7.21973717329e-06,1.70790061611e-05,7.21973717329e-06,1.70790061611e-05,0.000531546015287,RedNc_R,8618.23404255,8848.0,5255.74946662,91
113,8.49241766405e-06,1.65837990864e-05,8.49241766405e-06,1.65837990864e-05,0.000447418616845,Pons_R,9011.54255319,8387.5,4937.9467224,113
162,5.70028914296e-06,1.6304131218e-05,-5.70028914296e-06,-1.6304131218e-05,0.000522294735226,LenticularFasc_L,8861.60638298,8707.5,5462.28229659,162
156,6.09326580554e-07,1.58216896495e-05,6.09326580554e-07,-1.58216896495e-05,0.000500148357498,UNC_L,8418.96808511,8272.5,4983.30725854,156
104,1.63908162405e-05,1.58196105034e-05,1.63908162405e-05,1.58196105034e-05,0.000543781593159,MCP_L,8202.03723404,7688.5,5000.45365428,104
143,2.09997670372e-05,1.51736342506e-05,2.09997670372e-05,1.51736342506e-05,0.000522145844138,Fx/ST_R,8855.40425532,8630.0,5260.78276843,143
35,8.11299717745e-06,1.48685691629e-05,-8.11299717745e-06,1.48685691629e-05,0.000444274543046,STG_R,9644.11170213,10328.0,5040.72711144,35
27,1.57322960109e-05,1.43973772982e-05,1.57322960109e-05,1.43973772982e-05,0.000488336311888,SPG_R,9236.75531915,9565.0,5300.88403343,27
135,3.3316567741e-05,1.4314324461e-05,-3.3316567741e-05,-1.4314324461e-05,0.000529965751274,RLIC_R,8540.32978723,7903.0,5313.89526436,135
109,3.54657281759e-05,1.40591403285e-05,-3.54657281759e-05,1.40591403285e-05,0.000517332285841,ICP_R,8579.92021277,8150.0,5078.56093906,109
134,2.18407351413e-05,1.39536157469e-05,-2.18407351413e-05,-1.39536157469e-05,0.000490946864443,RLIC_L,9412.36702128,10086.5,5215.49604629,134
133,5.28509170344e-05,1.35809005848e-05,5.28509170344e-05,1.35809005848e-05,0.000505921721009,PLIC_R,9441.68085106,9600.5,5524.88416787,133
158,3.15033227843e-05,1.34737535456e-05,3.15033227843e-05,1.34737535456e-05,0.000472622161653,AnsaLenticularis_L,9681.7393617,10145.0,5230.62734848,158
90,2.29888335955e-06,1.30519685885e-05,-2.29888335955e-06,1.30519685885e-05,0.000534181951536,RedNc_L,8544.72340426,8655.0,5051.23958644,90
164,9.06562697027e-06,1.25260524713e-05,-9.06562697027e-06,-1.25260524713e-05,0.000497785084912,OlfactoryRadiation_L,8805.42553191,9241.5,5151.14579898,164
188,2.54986867719e-05,1.24518609894e-05,-2.54986867719e-05,-1.24518609894e-05,0.000506820355759,PSIG_R,8847.79255319,9125.5,5221.38393395,188
62,7.06094956574e-05,1.21077128982e-05,-7.06094956574e-05,-1.21077128982e-05,0.000536871233543,subcallosal_ACC_L,8576.89893617,8605.0,5258.17772368,62
111,1.45259680546e-05,1.1086842381e-05,-1.45259680546e-05,1.1086842381e-05,0.000487047228288,ML_R,8808.43085106,8847.0,5363.61259455,111
71,2.13239749115e-05,1.08896210625e-05,2.13239749115e-05,1.08896210625e-05,0.000518794430553,Ins_R,9123.44680851,9251.0,5222.65868059,71
119,3.42909542883e-05,9.17205448219e-06,-3.42909542883e-05,9.17205448219e-06,0.000438261170663,SCR_R,9721.81382979,10269.5,5015.08627049,119
28,8.42705033208e-06,9.02578779423e-06,-8.42705033208e-06,-9.02578779423e-06,0.000433869988779,SMG_L,9441.37765957,9601.0,4802.55927682,28
11,1.55801229251e-05,8.56504388965e-06,-1.55801229251e-05,-8.56504388965e-06,0.000468764764029,IFG_opercularis_R,9527.37765957,9165.0,5225.40353434,11
14,2.66449327203e-05,8.24666888667e-06,-2.66449327203e-05,-8.24666888667e-06,0.000499519891785,IFG_triangularis_L,8527.02659574,8130.5,4953.87934966,14
149,6.02565347241e-06,8.09191323365e-06,6.02565347241e-06,8.09191323365e-06,0.000504460547219,PTR_R,8590.17553191,8157.0,5069.16269535,149
29,3.3611677535e-06,7.95618404756e-06,3.3611677535e-06,7.95618404756e-06,0.000442058085219,SMG_R,9945.5,10949.5,4908.17767511,29
68,6.68341235051e-05,7.90430520786e-06,-6.68341235051e-05,-7.90430520786e-06,0.000511242169281,PCC_L,9220.76595745,9394.5,5234.24983738,68
